,shopcode,shopname,shoplat,shoplng
7654,e4f2,厝米 東門米粉攤,24.8191595,121.0254123
7655,f2od,BubbleZ阿偉（太平中山店）,24.148753,120.7176239
7656,jp4y,秦湯御膳食補製湯所 (彰化民生店),24.0771744,120.5427088
7657,eyht,快炒王,23.7232626,120.5840275
7658,w956,上上赤肉焿,25.020452,121.4234855
7659,ajsn,桂林美食店,22.58194436,120.35500322
7660,ivpl,Like17手搖茶館 (樂業店),24.13570751,120.7082435
7661,tvjq,老莊豆漿店,22.622151,120.3183334
7662,vjrs,你吃我炸芋頭餅 (桃園平鎮店),24.9162523,121.209101
7663,b6ig,鮮茶道 (前鎮德昌店),22.58310625,120.31736897
7664,byvs,長頸鹿與貓輕食坊,25.0699464,121.4985671
7665,hv4x,饒竹炸醬麵,24.68729835,120.87697963
7666,b8cg,唯豐朝食,22.56889915,120.36499786
7667,r2ox,斗六門當歸鴨 向心店,24.1375478,120.6439682
7668,z0z1,喫山曉,25.02655694,121.5645911
